committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00458398,BENNET FOR COLORADO,2017,Q2,201707170200179900,17,,1173299,,,,,VIRGIN AMERICA,CA,,,,,TRAVEL REFUND,X,,2017-06-13 00:00:00,-1018.20,,,,,,,,,,,,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2017-07-28 05:03:44.722,,,,0.00,,,,,,,,,,,,S,"",P,F3,1071820170035542048,BURLINGAME,940102000,OTHER,,2018,SB,2072720171442244918,http://docquery.fec.gov/cgi-bin/fecimg/?201707170200179900,Operating Expenditures,,,,,,
C00458398,BENNET FOR COLORADO,2017,Q3,201710160200314673,17,,1188260,,,,,"UNITED AIRLINES,INC.",IL,,,,,TRAVEL REFUND,X,,2017-09-15 00:00:00,-694.60,,,,,,,,,,,,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2017-10-27 04:07:19.214,,,,0.00,,,,,,,,,,,,S,"",P,F3,1101720170035924260,CHICAGO,606660100,OTHER,,2018,SB,2102620171461339832,http://docquery.fec.gov/cgi-bin/fecimg/?201710160200314673,Operating Expenditures,,,,,,
C00458398,BENNET FOR COLORADO,2018,Q2,201807170200519476,17,,1250452,,,,,"UNITED AIRLINES, INC",IL,,,,,TRAVEL REFUND,X,,2018-04-19 00:00:00,-610.30,,,,,,,,,,,,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2018-07-20 02:42:49.148,,,,0.00,,,,,,,,,,,,S,"",P,F3,1071820180036868313,CHICAGO,606660100,OTHER,,2018,SB,2071920181576444285,http://docquery.fec.gov/cgi-bin/fecimg/?201807170200519476,Operating Expenditures,,,,,,
C00458398,BENNET FOR COLORADO,2018,Q1,201804160200228731,17,,1225109,,,,,"SOUTHWEST AIRLINES, INC.",TX,,,,,TRAVEL REFUND,X,,2018-01-23 00:00:00,-580.98,,,,,,,,,,,,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2018-05-03 02:51:00.33,,,,0.00,,,,,,,,,,,,S,"",P,F3,1041720180036476393,DALLAS,752351647,OTHER,,2018,SB,2050220181533479229,http://docquery.fec.gov/cgi-bin/fecimg/?201804160200228731,Operating Expenditures,,,,,,
C00458398,BENNET FOR COLORADO,2017,Q1,201704170200107401,17,,1159980,,,,,"UNITED AIRLINES, INC.",IL,,,,,TRAVEL REFUND,X,,2017-01-13 00:00:00,-527.60,,,,,,,,,,,,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2017-05-31 19:35:59.74111,,,,0.00,,,,,,,,,,,,S,"",P,F3,1041820170034542005,CHICAGO,606660100,OTHER,,2018,SB,2042620171400518074,http://docquery.fec.gov/cgi-bin/fecimg/?201704170200107401,Operating Expenditures,,,,,,
C00458398,BENNET FOR COLORADO,2017,Q3,201710160200314653,17,,1188260,,,,,"DELTA AIRLINES, INC.",GA,,,,,TRAVEL REFUND,X,,2017-08-16 00:00:00,-468.20,,,,,,,,,,,,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2017-10-27 04:10:36.149,,,,0.00,,,,,,,,,,,,S,"",P,F3,1101720170035924260,ATLANTA,303541989,OTHER,,2018,SB,2102620171461339773,http://docquery.fec.gov/cgi-bin/fecimg/?201710160200314653,Operating Expenditures,,,,,,
C00458398,BENNET FOR COLORADO,2018,Q2,201807170200519477,17,,1250452,,,,,"DELTA AIRLINES, INC.",GA,,,,,TRAVEL REFUND,X,,2018-04-19 00:00:00,-464.30,,,,,,,,,,,,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2018-07-20 02:43:09.333,,,,0.00,,,,,,,,,,,,S,"",P,F3,1071820180036868313,ATLANTA,303541989,OTHER,,2018,SB,2071920181576444286,http://docquery.fec.gov/cgi-bin/fecimg/?201807170200519477,Operating Expenditures,,,,,,
C00458398,BENNET FOR COLORADO,2018,Q1,201804160200228732,17,,1225109,,,,,"DELTA AIRLINES, INC.",GA,,,,,TRAVEL REFUND,X,,2018-01-23 00:00:00,-464.20,,,,,,,,,,,,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2018-05-03 02:55:12.526,,,,0.00,,,,,,,,,,,,S,"",P,F3,1041720180036476393,ATLANTA,303541989,OTHER,,2018,SB,2050220181533479232,http://docquery.fec.gov/cgi-bin/fecimg/?201804160200228732,Operating Expenditures,,,,,,
C00458398,BENNET FOR COLORADO,2017,YE,201801310200054050,17,,1206573,,,,,UNITED AIRLINES INC,IL,,,,,TRAVEL REFUND,X,,2017-11-15 00:00:00,-442.20,,,,,,,,,,,,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2018-02-13 03:37:39.814,,,,0.00,,,,,,,,,,,,S,"",P,F3,1020120180036221044,CHICAGO,606660100,OTHER,,2018,SB,2021220181504503027,http://docquery.fec.gov/cgi-bin/fecimg/?201801310200054050,Operating Expenditures,,,,,,
C00458398,BENNET FOR COLORADO,2017,YE,201801310200054048,17,,1206573,,,,,"AMERICAN AIRLINES, INC.",TX,,,,,TRAVEL REFUND,X,,2017-11-15 00:00:00,-414.20,,,,,,,,,,,,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2018-02-13 03:37:25.777,,,,0.00,,,,,,,,,,,,S,"",P,F3,1020120180036221044,FORT WORTH,761552603,OTHER,,2018,SB,2021220181504503023,http://docquery.fec.gov/cgi-bin/fecimg/?201801310200054048,Operating Expenditures,,,,,,
